Site,238 Chad Baker,Acorn and Hwy 44,East St. John the Baptist High School,Fifth Ward Elementary School,Levee,Ochsner Hospital
8/6/2017,5.513,1.661,0.754,1.697,1.099,0.914
8/9/2017,45.519,0.076,0.037,26.187,0.479,0.037
8/12/2017,0.037,13.529,0.276,0.037,0.736,4.679
8/15/2017,4.244,0.526,3.917,2.452,0.831,1.378
8/18/2017,0.037,2.757,0.037,0.037,0.461,3.413
8/21/2017,5.767,0.225,2.202,0.602,3.591,0.352
8/24/2017,3.272,0.218,0.037,7,1.719,0.776
8/27/2017,33.514,0.432,0.037,1.164,0.406,0.17
8/30/2017,13.946,0.037,2.285,0.308,0.037,0.094
9/2/2017,2.394,0.176,0.037,2.815,2.655,0.127
9/5/2017,,1.15,2.285,0.277,2.151,3.917
9/8/2017,1.806,0.037,0.037,5.005,3.13,0.037
9/11/2017,0.037,0.037,0.037,15.524,4.28,0.037
9/14/2017,4.933,0.127,2.452,6.565,0.366,1.643
9/17/2017,15.778,0.954,1.494,19.006,4.316,1.295
9/20/2017,0.261,0.037,1.541,0.037,0.037,7.073
9/23/2017,4.534,0.196,0.312,4.068,4.461,0.932
9/26/2017,22.742,0.037,0.037,7.78,1.716,0.037
9/29/2017,29.234,3.587,1.596,21.944,21.98,3.551
10/2/2017,34.022,0.037,0.037,4.135,0.037,0.037
10/5/2017,31.791,0.037,0.037,23.177,0.559,0.037
10/8/2017,0.929,0.475,0.037,0.852,0.936,0.037
10/11/2017,0.355,0.279,1.603,0.326,4.788,0.987
10/14/2017,30.431,0.037,0.037,16.177,0.037,0.037
10/17/2017,0.112,0.037,0.037,0.491,4.824,0.037
10/20/2017,20.584,0.037,0.037,13.71,0.037,0.037
10/23/2017,0.827,0.794,0.17,0.207,2.151,0.131
10/26/2017,0.037,15.451,1.614,0.037,2.923,43.162
10/29/2017,0.037,0.037,0.037,0.037,15.923,0.037
11/1/2017,19.514,0.037,1.436,1.647,0.037,0.037
11/4/2017,7.617,0.037,2.133,0.646,0.037,0.127
11/7/2017,0.167,4.28,0.769,0.037,0.037,1.404
11/10/2017,1.371,1.197,0.037,2.332,6.674,0.037
11/13/2017,6.202,0.037,0.037,33.097,0.21,0.037
11/16/2017,28.835,0.037,0.037,36.669,0.649,0.037
11/19/2017,0.037,0.138,0.037,0.037,24.356,0.192
11/22/2017,0.464,0.037,0.037,9.521,2.967,0.037
11/25/2017,21.817,17.337,39.535,6.202,21.109,89.225
11/28/2017,70.002,,15.379,149.616,1.07,0.037
12/1/2017,0.192,0.158,0.254,0.395,1.654,0.127
12/4/2017,1.331,0.037,0.037,0.807,0.037,0.037
12/7/2017,0.037,0.037,0.037,0.08,0.319,0.037
12/10/2017,0.083,0.129,0.037,0.123,0.395,0.276
12/13/2017,0.037,0.283,0.316,0.037,1.161,0.49
12/16/2017,1.023,0.037,0.037,0.929,0.932,0.037
12/19/2017,3.622,0.037,0.58,12.332,,0.037
12/22/2017,0.037,0.037,1.42,0.037,0.037,0.258
12/25/2017,0.566,0.037,0.037,2.796,5.586,0.037
12/28/2017,0.037,0.037,0.037,1.075,0.468,0.037
12/31/2017,6.746,0.037,0.037,10.7,4.244,0.037
1/3/2018,0.023,0.023,0.023,0.054,2.662,0.023
1/6/2018,16.938,0.023,0.053,24.501,2.717,0.023
1/9/2018,0.023,0.023,0.023,0.023,11.643,0.023
1/12/2018,0.023,1.596,0.392,0.023,0.296,1.661
1/15/2018,2.651,3.845,3.845,4.498,12.441,5.368
1/19/2018,2.151,6.057,0.566,2.492,4.878,5.549
1/22/2018,15.56,0.023,2.064,3.174,0.023,1.777
1/25/2018,7,0.023,0.023,2.619,26.876,0.023
1/28/2018,1.701,0.023,0.023,9.013,10.518,0.023
1/31/2018,32.625,0.023,30.286,,9.684,0.111
2/3/2018,8.451,0.023,0.023,3.466,0.023,0.023
2/6/2018,32.607,0.023,0.023,32.353,0.598,0.023
2/9/2018,20.964,0.023,0.023,3.953,,0.023
2/12/2018,0.023,0.023,0.023,0.023,1.141,0.023
2/15/2018,0.023,0.023,3.166,0.023,0.023,
2/18/2018,4.425,0.889,0.426,0.972,0.852,3.953
2/21/2018,0.023,0.023,0.773,0.023,0.023,0.023
2/24/2018,0.624,0.023,1.017,0.023,0.023,0.059
2/27/2018,8.016,0.023,0.023,1.126,0.05,0.023
3/2/2018,0.061,0.048,0.023,0.932,0.889,0.023
3/5/2018,0.872,0.023,0.33,0.49,0.403,0.088
3/8/2018,0.023,0.023,0.023,0.081,0.945,0.023
3/11/2018,1.36,0.074,0.863,0.136,0.191,0.094
3/14/2018,0.128,13.783,0.023,3.393,28.255,0.228
3/17/2018,0.023,0.023,0.704,0.023,0.023,1.059
3/20/2018,0.023,0.441,0.023,0.023,0.023,0.199
3/23/2018,4.751,0.849,1.041,5.35,2.423,2.749
3/26/2018,0.023,0.023,0.934,0.023,0.023,0.114
3/29/2018,0.023,0.023,0.682,0.023,0.443,0.105
4/1/2018,3.627,0.023,0.783,8.959,2.702,0.053
4/4/2018,0.285,0.092,0.413,0.319,0.715,0.49
4/7/2018,0.023,0.482,0.368,0.023,0.321,0.069
4/10/2018,0.023,0.023,0.023,0.119,1.03,0.023
4/13/2018,0.023,0.023,2.524,0.023,0.023,0.023
4/16/2018,0.023,0.39,0.023,0.023,0.023,0.023
4/19/2018,0.023,1.114,0.023,0.023,2.535,1.65
4/22/2018,0.421,0.023,0.482,0.101,0.023,0.023
4/25/2018,0.023,3.99,0.023,0.023,4.715,0.12
4/28/2018,0.522,7.508,0.023,4.86,21.907,0.023
5/1/2018,0.261,0.023,0.1,,0.023,0.023
5/4/2018,0.023,0.023,0.049,,0.023,0.023
5/7/2018,0.023,0.34,0.023,0.023,1.324,0.023
5/10/2018,10.809,0.023,4.479,2.216,0.048,0.328
5/13/2018,3.437,0.023,0.299,0.947,0.023,0.023
5/16/2018,0.023,0.235,0.106,0.023,1.843,0.226
5/19/2018,0.827,0.598,0.54,0.172,0.297,0.437
5/22/2018,0.023,0.504,0.067,0.023,1.262,0.7
5/25/2018,0.1,0.885,0.089,0.222,2.292,0.059
5/28/2018,0.468,0.023,0.023,0.118,3.525,0.023
5/31/2018,0.023,0.023,0.655,0.023,0.023,1.023
6/3/2018,0.023,0.783,0.023,0.023,0.023,0.023
6/6/2018,0.062,1.026,0.023,0.052,1.202,0.606
6/9/2018,8.143,4.207,1.683,0.689,6.057,5.441
6/12/2018,0.413,0.023,1.4,0.023,0.023,0.023
6/15/2018,1.24,1.585,1.172,2.042,5.114,0.958
6/18/2018,4.135,0.238,0.093,0.023,1.055,0.31
6/21/2018,0.023,0.314,0.412,0.023,0.693,0.609
6/24/2018,0.023,0.023,0.023,0.023,0.023,3.204
6/27/2018,0.066,0.023,0.182,0.023,0.023,0.758
6/30/2018,0.023,0.818,0.023,0.023,0.023,0.289
7/3/2018,1.861,1.295,0.2,1.088,2.042,0.22
7/6/2018,2.013,0.048,0.023,0.869,0.342,0.151
7/9/2018,0.023,0.023,0.023,1.32,0.023,0.023
7/12/2018,0.023,0.82,0.023,0.023,0.729,0.023
7/15/2018,0.023,1.828,0.023,0.023,0.023,0.237
7/18/2018,0.023,1.121,0.023,0.023,0.023,0.537
7/21/2018,0.023,0.43,0.023,0.023,0.023,0.023
7/24/2018,1.857,0.13,0.023,0.464,1.262,0.086
7/27/2018,0.147,0.281,0.023,0.023,1.066,0.461
7/30/2018,0.577,1.708,0.151,0.335,1.07,0.845
8/2/2018,0.736,0.023,0.121,0.375,1.378,0.077
8/5/2018,1.563,0.023,0.023,1.835,0.023,0.023
8/8/2018,2.169,1.135,1.153,3.417,10.156,1.037
8/11/2018,2.31,2.561,0.693,1.814,3.003,2.151
8/14/2018,0.023,1.204,0.048,0.023,0.551,0.809
8/17/2018,0.343,0.023,0.522,0.023,0.023,0.023
8/20/2018,0.023,0.023,0.53,0.023,0.023,0.353
8/23/2018,0.838,0.023,0.023,1.422,1.28,0.023
8/26/2018,1.175,0.023,0.023,1.567,,0.023
8/29/2018,3.341,0.151,0.11,1.48,0.617,0.055
9/1/2018,5.79,0.0234,0.0234,0.166,0.0234,0.0234
9/4/2018,8.76,0.0234,0.197,3.40,0.0234,0.0234
9/7/2018,1.50,0.104,0.934,2.21,7.65,0.177
9/10/2018,2.09,5.15,0.0234,1.80,3.08,1.45
9/13/2018,3.06,0.277,0.0660,3.32,0.457,0.205
9/16/2018,0.831,1.45,0.0234,0.392,0.802,0.421
9/19/2018,0.173,2.97,0.776,0.0234,0.225,19.7
9/22/2018,2.44,1.29,0.588,9.32,1.11,0.870
9/25/2018,2.99,0.0234,0.270,1.67,0.0234,0.0234
9/28/2018,0.345,1.10,0.715,2.60,1.10,0.428
10/1/2018,28.2,0.314,0.206,2.15,1.59,1.60
10/4/2018,13.0,0.0234,0.0234,9.12,0.122,0.0234
10/7/2018,7.18,0.202,0.133,7.91,0.350,0.172
10/10/2018,2.51,0.0234,0.0234,2.78,2.22,0.0234
10/13/2018,37.4,34.2,5.19,52.8,98.7,41.0
10/16/2018,0.21,0.0234,0.0234,0.595,0.1444,0.0234
10/19/2018,0.15,0.0234,0.023,1.55,0.1433,0.0234
10/22/2018,0.05,0.023,0.023,0.14,0.24,0.023
10/25/2018,0.52,0.02,0.0234,0.14,0.07,0.05
10/28/2018,0.02,1.251,0.1581,0.02,0.185,11.335
10/31/2018,0.023,0.02,1.5016,0.023,0.023,0.023
11/3/2018,0.023,3.81,3.663,0.0234,0.482,2.1
11/6/2018,0.67,0.10,0.023,0.32,0.11,0.023
11/9/2018,1.91,,0.023,1.99,3.6270,0.0234
11/12/2018,1.309,0.02,0.023,0.98,0.21,0.023
11/15/2018,0.0,0.023,0.023,0.02,0.74,0.02
11/18/2018,8.5,0.0234,0.0234,6.89,0.968,0.0234
11/21/2018,0.78,0.023,0.023,0.22,3.808,0.023
11/24/2018,2.45,0.1556,1.0809,0.53,1.21,0.1556
11/27/2018,,,,,,
11/30/2018,0.02,0.0234,2.6405,0.023,0.0234,0.0234
12/3/2018,3.66,0.0234,0.511,1.68,4.4613,0.2550
12/6/2018,5.15,0.023,0.023,15.20,0.37,0.023
12/9/2018,0.28,0.41,0.0234,0.19,0.58,0.15
12/12/2018,10.86,2.601,5.5131,6.13,4.171,5.042
12/15/2018,0.023,0.91,0.0234,0.023,0.023,0.023
12/18/2018,4.498,77.26,0.023,24.7909,40.260,38.4
12/21/2018,0.02,0.02,0.023,0.02,0.02,0.023
12/24/2018,4.75,0.3112,0.023,1.02,1.2187,0.0234
12/27/2018,2.144,0.02,0.211,0.02,0.02,0.023
12/30/2018,0.3,0.023,0.023,4.19,0.37,0.02
